PERFIL;MEDIA_CONSUMO_L_DIA;MEDIA_MORADORES;MEDIA_RENDA;QTD_RESIDENCIAS;PERCENTUAL_TOTAL
AMBIENTALISTA;41.41;3.34;2748.16;9249;55.85
MODERADO;110.3;3.04;3249.69;1366;8.25
PERDULARIO;303.75;2.51;3784.92;5944;35.9
