PERFIL;MEDIA_CONSUMO_L_DIA;MEDIA_MORADORES;MEDIA_RENDA;QTD_RESIDENCIAS;PERCENTUAL_TOTAL
AMBIENTALISTA;61.86;3.85;2286.78;5281;33.56
MODERADO;111.65;3.42;2433.27;1398;8.88
PERDULARIO;283.57;2.73;2784.7;9059;57.56
