Mes;Ano;Mes_Ano;CI_Pop_Uniforme;CII_Ambientalistas;CIII_Perdularios;CIV_PopUnif_RendaLinear;CV_PopUnif_RendaEquilibrio;CVI_PopUnif_RendaDesequilibrio;CVII_PopAleat_RendaLinear;CVIII_PopAleat_RendaEquilibrio;CIX_PopAleat_RendaDesequilibrio;CX_Ambient_RendaLinear;CXI_Ambient_RendaEquilibrio;CXII_Ambient_RendaDesequilibrio;CXIII_Perdul_RendaLinear;CXIV_Perdul_RendaEquilibrio;CXV_Perdul_RendaDesequilibrio;CXVI_PopUnif_RendaAleatLinear;CXVII_PopUnif_RendaAleatEquilibrio;CXVIII_PopUnif_RendaAleatDesequilibrio
4;2027;4/2027;184717,72049782152;184307,37351844212;184475,10602926055;186051,89906630683;186097,10435393234;186094,51420575503;186041,64235353153;186086,8448628462;186084,25485694528;184691,6129853441;184706,55358110668;184702,10702539826;185296,75182676045;185322,70904225556;185325,08779778064;184181,23823725272;184130,4141681366;184556,58128786433
5;2027;5/2027;184751,26134942524;184317,81891587767;184494,90916111483;186085,62264212023;186130,8369708021;186128,24630459448;186075,36387800163;186120,57542781733;186117,984903915;184702,1352306686;184717,07881454987;184712,63136952932;185316,63517627458;185342,59758321234;185344,9768144887;184487,42229371823;184158,21283313874;184086,99711637598
6;2027;6/2027;184784,8089091921;184328,2664023839;184514,7162535966;186119,35296264864;186164,57633419812;186161,98514985671;186109,09214677662;186154,3127389036;186151,7216968962;184712,6595804426;184727,60615304127;184723,15781853112;185336,52250245804;185362,49010187807;185364,8698090006;184708,05639857647;184463,15461738367;184105,7476044042
7;2027;7/2027;184818,36317847276;184338,71597839115;184534,52730749562;186153,09002924137;186198,3224454649;186195,73074288707;186142,82716120634;186188,05679745204;186185,46523723638;184723,186035085;184738,13559699923;184733,6863728225;185356,41380610786;185382,38659904688;185384,766782111;184340,19055722325;184413,36593239603;184203,63352091587
8;2027;8/2027;184851,9241586153;184349,16764432096;184554,34232360506;186186,83384324657;186232,07530595214;186229,48308503532;186176,56892263817;186221,80760481025;186219,21552628366;184733,71459501958;184748,6671468444;184744,21703282444;185376,30908801686;185402,28707551505;185404,66773461577;184498,0783147111;184468,1976151172;184038,8467988878
9;2027;9/2027;184885,491850945;184359,62140057658;184574,1613027178;186220,584406016;186265,8349170138;186263,23220643902;186210,31743242356;186255,56516233092;186252,97256538837;184744,24526066644;184759,2008030012;184754,7497989574;185396,20834898335;185422,19153207907;185424,5626960991;184345,9416997616;184687,73821677628;184662,39108656126
10;2027;10/2027;184919,06625681475;184370,0772475831;184593,98424562725;186254,3417188971;186299,6012799973;186296,9827558809;186244,0726919104;186289,32947136438;186286,72638468957;184754,77803244573;184769,73656588924;184765,2846716455;185416,11158980173;185442,09996953383;185444,45631478625;184591,65118634552;184150,71045462618;184525,43562083543
11;2027;11/2027;184952,64737757205;184380,53518576367;184613,81115312641;186288,10150048698;186333,37011350028;186330,7357726791;186277,83041969407;186323,09625050455;186320,4773502128;184765,31291077897;184780,27443593013;184775,821651306;185436,01452851522;185462,00810592325;185464,34962944593;184373,86660401488;184849,1145953611;184741,43462210905
12;2027;12/2027;184986,23521454018;184390,99521552268;184633,64202600383;186321,86467028846;186367,13796743116;186364,49217633292;186311,59153527877;186356,86641925396;186354,23170218224;184775,849896089;184790,81441354347;184786,36073836335;185455,91808407;185481,9124906022;185484,24355901993;184487,3393364289;184796,34510799442;184472,25719666953
1;2028;1/2028;185016,47031362672;184400,41112511355;184651,49338115304;188048,3018525962;188149,19425424893;188146,94943827577;188038,98113728839;188139,86798433354;188137,6232666547;185275,19106270015;185308,58230368464;185299,44271325343;186516,46564606228;186574,35068793708;186582,10650984687;185002,8778719539;184294,51627789225;184427,15733250705
