Date,Projected_Consumption
2026-01,193702.98785338172
2026-02,190080.9444208238
2026-03,194255.65213851575
2026-04,199073.63454484346
2026-05,187512.756658954
2026-06,181686.30258601153
2026-07,184856.4794738478
2026-08,174933.38943171524
2026-09,178941.9219269643
2026-10,189922.7829811958
2026-11,194497.79732160017
2026-12,194655.449833181
2027-01,193705.70175530112
2027-02,190082.83605492697
2027-03,194257.0468119014
2027-04,199073.5344820039
2027-05,187512.93548625868
2027-06,181686.50217935257
2027-07,184855.91116599887
2027-08,174934.23957088002
2027-09,178942.27216369807
2027-10,189923.03074698968
2027-11,194498.35751173357
2027-12,194655.87991874077
2028-01,193706.26222252526
2028-02,190083.2704998772
2028-03,194257.4031382347
2028-04,199073.68038971402
2028-05,187513.10405482294
2028-06,181686.66299800677
2028-07,184855.9606748618
2028-08,174934.46357214177
2028-09,178942.42251190054
2028-10,189923.15906136492
2028-11,194498.51843760183
2028-12,194656.01695039307
2029-01,193706.40951226978
2029-02,190083.3951322596
2029-03,194257.51214336138
2029-04,199073.75684257314
2029-05,187513.17870345924
2029-06,181686.73240645742
2029-07,184856.01163387514
2029-08,174934.5336037394
2029-09,178942.4796447503
2029-10,189923.2102606121
2029-11,194498.57104970893
2029-12,194656.06387457423
2030-01,193706.4553982495
2030-02,190083.4358744918
2030-03,194257.548852517
2030-04,199073.78747400115
2030-05,187513.2074073791
2030-06,181686.75888063142
2030-07,184856.03428255604
2030-08,174934.55742801662
2030-09,178942.5005890909
2030-10,189923.2293300229
2030-11,194498.5892893691
2030-12,194656.08044355514
2031-01,193706.47097833393
2031-02,190083.44999960452
2031-03,194257.56173217075
2031-04,199073.79890075346
2031-05,187513.2179754892
2031-06,181686.76860063494
2031-07,184856.04299216694
2031-08,174934.5658203754
2031-09,178942.5081743443
2031-10,189923.23627442893
2031-11,194498.59576136578
2031-12,194656.0863633826
2032-01,193706.47646217482
2032-02,190083.45501176617
2032-03,194257.56632301354
2032-04,199073.80306442996
2032-05,187513.22180882475
2032-06,181686.77212285253
2032-07,184856.0461985187
2032-08,174934.5688162006
2032-09,178942.51090964134
2032-10,189923.23878355412
2032-11,194498.59807791075
2032-12,194656.08848765766
2033-01,193706.4784191478
2033-02,190083.45680580873
2033-03,194257.56796897482
2033-04,199073.8045691607
2033-05,187513.22319192794
2033-06,181686.7733932509
2033-07,184856.04736148872
2033-08,174934.5698908787
2033-09,178942.51189448356
2033-10,189923.2396876018
2033-11,194498.59890973216
2033-12,194656.08925114272
2034-01,193706.47912108494
2034-02,190083.45745001387
2034-03,194257.56856036387
2034-04,199073.80511136423
2034-05,187513.22369001413
2034-06,181686.77385069113
2034-07,184856.04778109083
2034-08,174934.57027708305
2034-09,178942.51224887712
2034-10,189923.2400130047
2034-11,194498.59920876863
2034-12,194656.08952570445
2035-01,193706.47937332807
2035-02,190083.45768160347
2035-03,194257.56877301287
2035-04,199073.80530653056
2035-05,187513.22386926255
2035-06,181686.77401530452
2035-07,184856.04793219778
2035-08,174934.57041596252
2035-09,178942.51237637913
2035-10,189923.2401300874
2035-11,194498.5993163164
2035-12,194656.0896244619
