lag_p,mape
1,0.05746520084152233
2,0.0632175715650034
3,0.05525164503274573
4,0.05518256945139503
5,0.05309065372780545
6,0.05399980862676622
7,0.05420630009126319
8,0.054964798522256844
9,0.053044584462013454
10,0.05483462755830328
11,0.05482075738089252
