SK_MATRICULA,CD_SETOR_x,TP_COMPORTAMENTO_x,NN_MEDIA_CONSUMO_x,NN_CONSUMO_DIARIO_x,NN_MORADORES_ANALISE_x,NM_CENARIO,TP_NOVO_COMPORTAMENTO,NN_NOVA_MEDIA_CONSUMO,NN_NOVO_CONSUMO_DIARIO,NN_NOVO_MORADORES_ANALISE,MUDOU_COMPORTAMENTO,TIPO_MUDANCA,NM_LOCALIDADE,NM_CATEGORIATARIFARIA,NM_SITUACAO_IMOVEL,NN_MORADORES,NN_MORADORES_ANALISE_y,ST_PISCINA,LAT_GEO,LONG_GEO,X,Y,CD_SETOR_ORIGINAL,CD_SETOR_y,NN_MEDIA_CONSUMO_y,NN_CONSUMO_DIARIO_y,TP_COMPORTAMENTO_y,VL_RENDA_MEDIA_RESPONSAVEL,NN_MEDIA_MORADORES_IBGE
4261C1F3F32800A552C615B7B7DAEE87CE1590D7029C4AB7D82D75954C300C02,S068,AMBIENTALISTA,7.833333333333333,85.61020036429872,3.0,CVIII,MODERADO,9.810784704025966,107.22169075438214,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948381,-38.372048,568111.2511200955,8568488.980988383,292740805090248,S068,7.833333333333333,85.61020036429872,AMBIENTALISTA,4839.78,2.6
4EB18EBD2FC391C4F21CC8BF3311FF60E7D0AC5828C3EF7A524FDAB0DCEE12D9,S068,AMBIENTALISTA,7.0,76.50273224043717,3.0,CVIII,MODERADO,10.90076288573332,119.13402060910732,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.947399,-38.37108,568216.5168459029,8568597.324096093,292740805090248,S068,7.0,76.50273224043717,AMBIENTALISTA,4839.78,2.6
4EF03995EA864C2E4CDF5B16D1DAEB487761F3424C736D578D4E0555CCDF79E3,S068,MODERADO,9.166666666666666,100.18214936247722,3.0,CVIII,PERDULARIO,11.990959082698394,131.04873314424475,3.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948407,-38.370856,568240.5398572393,8568485.78776124,292740805090248,S068,9.166666666666666,100.18214936247722,MODERADO,4839.78,2.6
69C2025150CD1DBF699135CC0779956273749A136436D9627BFACC82533E76CC,S068,MODERADO,9.416666666666666,102.9143897996357,3.0,CVIII,PERDULARIO,14.17113346137083,154.87577553410745,3.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.94699,-38.371123,568211.9638719739,8568642.5676214,292740805090248,S068,9.416666666666666,102.9143897996357,MODERADO,4839.78,2.6
8DB45AB8A9B386B77D8D6CECE4F8AD622F1275A0922936C164F4EFDA6F60EB97,S068,AMBIENTALISTA,8.75,95.62841530054644,3.0,CVIII,MODERADO,10.90087189336218,119.13521194931344,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948723,-38.370087,568323.8669210454,8568450.635367054,292740805090248,S068,8.75,95.62841530054644,AMBIENTALISTA,4839.78,2.6
BA344CDF079165DFC0E8E1411798521C172D8FA1C39A6D1EB738E9A6C050BC67,S068,AMBIENTALISTA,8.083333333333334,88.3424408014572,3.0,CVIII,MODERADO,10.90087189336218,119.13521194931344,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.947498,-38.37105,568219.7440185865,8568586.367501972,292740805090248,S068,8.083333333333334,88.3424408014572,AMBIENTALISTA,4839.78,2.6
BB9CCC11A810E6ED49AD77949D5C781ED322A15203E9E6FF6016A358F8318FCD,S068,AMBIENTALISTA,6.25,68.30601092896175,3.0,CVIII,PERDULARIO,13.080915462879986,142.9608247309288,3.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948842,-38.371403,568181.0886955796,8568437.826246336,292740805090248,S068,6.25,68.30601092896175,AMBIENTALISTA,4839.78,2.6
F2DC63CBEC26F62346BD34C4B66BA9A4A9F1D72F3AF08448EEE0D5673F09D0B3,S068,MODERADO,11.083333333333334,121.12932604735884,3.0,CVIII,PERDULARIO,12.081678865021097,132.04020617509394,3.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.94717,-38.3702,568312.032892299,8568622.414693743,292740805090248,S068,11.083333333333334,121.12932604735884,MODERADO,4839.78,2.6
0B399E22A129D2AE084747C23B8F25B6DF96528FC3EAFB2181559C22C4BCED98,S068,MODERADO,3.4166666666666665,112.02185792349728,1.0,CVIII,PERDULARIO,4.360348757344871,142.9622543391761,1.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,1,1,0,-12.94688,-38.370343,568296.600626109,8568654.524523601,292740805090248,S068,3.4166666666666665,112.02185792349728,MODERADO,4839.78,2.6
4C228F0F21C2DDD1EE3963029C67A2DBC2052B1C5E2532CB5A8C0A91322653B6,S068,AMBIENTALISTA,3.0,98.36065573770492,1.0,CVIII,MODERADO,3.270261568008653,107.2216907543821,1.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,1,1,0,-12.94707,-38.371023,568222.7891355066,8568633.693598028,292740805090248,S068,3.0,98.36065573770492,AMBIENTALISTA,4839.78,2.6
