SK_MATRICULA,CD_SETOR_x,TP_COMPORTAMENTO_x,NN_MEDIA_CONSUMO_x,NN_CONSUMO_DIARIO_x,NN_MORADORES_ANALISE_x,NM_CENARIO,TP_NOVO_COMPORTAMENTO,NN_NOVA_MEDIA_CONSUMO,NN_NOVO_CONSUMO_DIARIO,NN_NOVO_MORADORES_ANALISE,MUDOU_COMPORTAMENTO,TIPO_MUDANCA,NM_LOCALIDADE,NM_CATEGORIATARIFARIA,NM_SITUACAO_IMOVEL,NN_MORADORES,NN_MORADORES_ANALISE_y,ST_PISCINA,LAT_GEO,LONG_GEO,X,Y,CD_SETOR_ORIGINAL,CD_SETOR_y,NN_MEDIA_CONSUMO_y,NN_CONSUMO_DIARIO_y,TP_COMPORTAMENTO_y,VL_RENDA_MEDIA_RESPONSAVEL,NN_MEDIA_MORADORES_IBGE
0435515B6ACAC87E5EF64F278DB0E01E68A49F0FB0BF24B59964B918E863B91E,S068,AMBIENTALISTA,11.75,96.31147540983606,4.0,CVIII,PERDULARIO,18.522374236321863,151.82273964198248,4.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.948243578785142,-38.37224022896219,568090.4374284196,8568504.229849083,292740805090248,S068,11.75,96.31147540983606,AMBIENTALISTA,4839.78,2.6
160042B79882E0E8D1E154310081F2F1F9A933DD19F5965EBA8CDA7156BC55B8,S068,AMBIENTALISTA,11.5,94.2622950819672,4.0,CVIII,MODERADO,12.529716097997929,102.70259096719614,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.948651487009464,-38.37235804162512,568077.5475911489,8568459.149913248,292740805090248,S068,11.5,94.2622950819672,AMBIENTALISTA,4839.78,2.6
40CE1BEF578800CE6D806D10050531CA7B6E93F2B825A18106007759E20566AA,S068,AMBIENTALISTA,11.5,94.2622950819672,4.0,CVIII,MODERADO,12.52984139515891,102.70361799310582,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.947389293436247,-38.36991151462585,568343.2651976186,8568598.085541401,292740805090248,S068,11.5,94.2622950819672,AMBIENTALISTA,4839.78,2.6
443617AD1CB669C4E98830497F4B870E1FF7A3C6D9364AECF6EDB197A8286BF1,S068,AMBIENTALISTA,12.0,98.36065573770492,4.0,CVIII,MODERADO,13.07461710799191,107.16899268845827,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.94844108123674,-38.37070703747273,568256.6884929587,8568481.978892254,292740805090248,S068,12.0,98.36065573770492,AMBIENTALISTA,4839.78,2.6
446B5702CE42D18DDEAEBB63BFD3C62761303C88A9ED112F5F0573B40EC0962C,S068,AMBIENTALISTA,11.416666666666666,93.5792349726776,4.0,CVIII,MODERADO,12.439045443020076,101.95938887721373,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.946664580134398,-38.37055160070168,568274.0322843934,8568678.403905027,292740805090329,S101,11.416666666666666,93.5792349726776,AMBIENTALISTA,5922.09,2.7
47C96630FFB0A3064E3C5A37AADBF55142B88624A35BF51539C24990CFA432BE,S068,AMBIENTALISTA,8.833333333333334,72.40437158469946,4.0,CVIII,PERDULARIO,34.86529696834208,285.78112269132856,4.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.947725568437804,-38.37005325906412,568327.7985468464,8568560.934150275,292740805090248,S068,8.833333333333334,72.40437158469946,AMBIENTALISTA,4839.78,2.6
4E475D606DA3BF9A7BC9EDBB06293553ADF06C1F3212C848162F27A6072C3EFA,S068,MODERADO,13.416666666666666,109.9726775956284,4.0,CVIII,PERDULARIO,17.43264848417104,142.89056134566428,4.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.947911558209958,-38.3723386916758,568079.8473428003,8568540.974822437,292740805090248,S068,13.416666666666666,109.9726775956284,MODERADO,4839.78,2.6
6988AB9D370B7768026C3189E72D580AC666A7FF2ED7F65C1C3E245F0646576B,S068,MODERADO,14.5,118.85245901639344,4.0,CVIII,PERDULARIO,15.79849567215689,129.4958661652204,4.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.947341776445583,-38.371690983664784,568150.2589564571,8568603.815473298,292740805090248,S068,14.5,118.85245901639344,MODERADO,4839.78,2.6
760459B6FC4F17E08FC3BE3FEE92865CBDDD3FFAA12BC36A3065F4C277DAD388,S068,AMBIENTALISTA,9.916666666666666,81.28415300546447,4.0,CVIII,PERDULARIO,18.52218901443172,151.82122142976817,4.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.949131955731708,-38.37100902437756,568223.7441264594,8568405.654413732,292740805090248,S068,9.916666666666666,81.28415300546447,AMBIENTALISTA,4839.78,2.6
7810C193DDDDDA14A4DA9916996819CD829BC85E1165AC9F24059AC005A04D7C,S068,AMBIENTALISTA,9.916666666666666,81.28415300546447,4.0,CVIII,MODERADO,13.07461710799191,107.16899268845827,4.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,4,4,0,-12.946883659131032,-38.37066313316453,568261.8746871476,8568654.205334822,292740805090248,S068,9.916666666666666,81.28415300546447,AMBIENTALISTA,4839.78,2.6
