CD_SETOR;TP_COMPORTAMENTO;TP_NOVO_COMPORTAMENTO;COUNT
S039;AMBIENTALISTA;PERDULARIO;6
S039;MODERADO;PERDULARIO;4
S039;PERDULARIO;MODERADO;1
S040;AMBIENTALISTA;MODERADO;7
S040;AMBIENTALISTA;PERDULARIO;1
S040;MODERADO;AMBIENTALISTA;2
S040;MODERADO;PERDULARIO;2
S041;AMBIENTALISTA;MODERADO;18
S041;AMBIENTALISTA;PERDULARIO;15
S041;MODERADO;PERDULARIO;21
S041;PERDULARIO;AMBIENTALISTA;1
S041;PERDULARIO;MODERADO;1
S042;AMBIENTALISTA;MODERADO;11
S042;AMBIENTALISTA;PERDULARIO;6
S042;MODERADO;PERDULARIO;4
S043;AMBIENTALISTA;MODERADO;3
S043;AMBIENTALISTA;PERDULARIO;9
S043;MODERADO;PERDULARIO;10
S044;AMBIENTALISTA;MODERADO;3
S044;AMBIENTALISTA;PERDULARIO;4
S044;MODERADO;PERDULARIO;3
S045;AMBIENTALISTA;MODERADO;7
S045;AMBIENTALISTA;PERDULARIO;3
S045;MODERADO;PERDULARIO;4
S046;AMBIENTALISTA;MODERADO;3
S046;AMBIENTALISTA;PERDULARIO;6
S046;MODERADO;PERDULARIO;6
S046;PERDULARIO;AMBIENTALISTA;1
S047;AMBIENTALISTA;MODERADO;7
S047;AMBIENTALISTA;PERDULARIO;8
S047;MODERADO;PERDULARIO;8
S048;AMBIENTALISTA;MODERADO;3
S048;AMBIENTALISTA;PERDULARIO;4
S048;MODERADO;PERDULARIO;8
S048;PERDULARIO;MODERADO;1
S049;AMBIENTALISTA;MODERADO;6
S049;AMBIENTALISTA;PERDULARIO;6
S049;MODERADO;AMBIENTALISTA;1
S049;MODERADO;PERDULARIO;2
S050;AMBIENTALISTA;MODERADO;5
S050;AMBIENTALISTA;PERDULARIO;6
S050;MODERADO;AMBIENTALISTA;1
S050;MODERADO;PERDULARIO;7
S050;PERDULARIO;AMBIENTALISTA;2
S051;AMBIENTALISTA;MODERADO;14
S051;AMBIENTALISTA;PERDULARIO;9
S051;MODERADO;PERDULARIO;8
S052;AMBIENTALISTA;MODERADO;1
S052;AMBIENTALISTA;PERDULARIO;5
S052;MODERADO;PERDULARIO;4
S053;AMBIENTALISTA;MODERADO;7
S053;AMBIENTALISTA;PERDULARIO;3
S053;MODERADO;PERDULARIO;5
S053;PERDULARIO;AMBIENTALISTA;1
S054;AMBIENTALISTA;MODERADO;19
S054;AMBIENTALISTA;PERDULARIO;7
S054;MODERADO;PERDULARIO;28
S055;AMBIENTALISTA;MODERADO;11
S055;AMBIENTALISTA;PERDULARIO;10
S055;MODERADO;PERDULARIO;18
S056;AMBIENTALISTA;MODERADO;10
S056;AMBIENTALISTA;PERDULARIO;8
S056;MODERADO;PERDULARIO;7
S057;AMBIENTALISTA;MODERADO;24
S057;AMBIENTALISTA;PERDULARIO;18
S057;MODERADO;PERDULARIO;14
S058;AMBIENTALISTA;MODERADO;2
S058;AMBIENTALISTA;PERDULARIO;6
S058;MODERADO;PERDULARIO;5
S059;AMBIENTALISTA;MODERADO;13
S059;AMBIENTALISTA;PERDULARIO;6
S059;MODERADO;PERDULARIO;6
S059;PERDULARIO;AMBIENTALISTA;1
S060;AMBIENTALISTA;MODERADO;3
S060;AMBIENTALISTA;PERDULARIO;1
S060;MODERADO;PERDULARIO;1
S061;AMBIENTALISTA;MODERADO;7
S061;AMBIENTALISTA;PERDULARIO;6
S061;MODERADO;PERDULARIO;6
S062;AMBIENTALISTA;MODERADO;1
S062;AMBIENTALISTA;PERDULARIO;2
S062;MODERADO;PERDULARIO;2
S063;AMBIENTALISTA;PERDULARIO;1
S063;MODERADO;PERDULARIO;1
S064;AMBIENTALISTA;MODERADO;4
S064;AMBIENTALISTA;PERDULARIO;1
S064;MODERADO;AMBIENTALISTA;1
S064;MODERADO;PERDULARIO;7
S065;AMBIENTALISTA;MODERADO;5
S065;AMBIENTALISTA;PERDULARIO;5
S065;MODERADO;AMBIENTALISTA;2
S065;MODERADO;PERDULARIO;7
S066;AMBIENTALISTA;MODERADO;1
S066;AMBIENTALISTA;PERDULARIO;6
S066;MODERADO;PERDULARIO;4
S067;AMBIENTALISTA;MODERADO;5
S067;AMBIENTALISTA;PERDULARIO;9
S067;MODERADO;PERDULARIO;8
S067;PERDULARIO;AMBIENTALISTA;1
S068;AMBIENTALISTA;MODERADO;19
S068;AMBIENTALISTA;PERDULARIO;17
S068;MODERADO;PERDULARIO;25
S069;AMBIENTALISTA;MODERADO;5
S069;AMBIENTALISTA;PERDULARIO;8
S069;MODERADO;AMBIENTALISTA;1
S069;MODERADO;PERDULARIO;14
S069;PERDULARIO;AMBIENTALISTA;3
S069;PERDULARIO;MODERADO;1
S070;AMBIENTALISTA;MODERADO;9
S070;AMBIENTALISTA;PERDULARIO;7
S070;MODERADO;PERDULARIO;8
S071;AMBIENTALISTA;MODERADO;5
S071;AMBIENTALISTA;PERDULARIO;6
S071;MODERADO;AMBIENTALISTA;1
S071;MODERADO;PERDULARIO;11
S071;PERDULARIO;AMBIENTALISTA;1
S072;AMBIENTALISTA;MODERADO;2
S072;AMBIENTALISTA;PERDULARIO;3
S072;MODERADO;PERDULARIO;3
S073;AMBIENTALISTA;MODERADO;4
S073;AMBIENTALISTA;PERDULARIO;9
S073;MODERADO;PERDULARIO;5
S073;PERDULARIO;AMBIENTALISTA;1
S074;AMBIENTALISTA;MODERADO;11
S074;AMBIENTALISTA;PERDULARIO;9
