CD_SETOR;N_CONSUMIDORES;N_MUDANCAS;PERFIL_PREDOMINANTE_INICIAL;PERFIL_PREDOMINANTE_FINAL;PCT_MUDANCAS
S044;72;10;AMBIENTALISTA;PERDULARIO;13.88888888888889
S079;78;10;AMBIENTALISTA;AMBIENTALISTA;12.82051282051282
S052;93;10;PERDULARIO;PERDULARIO;10.75268817204301
S072;83;8;AMBIENTALISTA;PERDULARIO;9.63855421686747
S089;52;8;AMBIENTALISTA;AMBIENTALISTA;15.384615384615385
S060;62;5;AMBIENTALISTA;AMBIENTALISTA;8.064516129032258
S062;129;5;AMBIENTALISTA;AMBIENTALISTA;3.875968992248062
S021;67;4;AMBIENTALISTA;AMBIENTALISTA;5.970149253731343
S091;26;3;PERDULARIO;AMBIENTALISTA;11.538461538461538
S063;60;2;AMBIENTALISTA;AMBIENTALISTA;3.3333333333333335
S081;24;2;PERDULARIO;PERDULARIO;8.333333333333332
S017;3;1;AMBIENTALISTA;AMBIENTALISTA;33.33333333333333
S097;1;1;AMBIENTALISTA;PERDULARIO;100.0
S085;1;0;PERDULARIO;PERDULARIO;0.0
