SK_MATRICULA;LAT_GEO;LONG_GEO
83265E69187485D7CCB092C347B0095F15745C8FD32B8346A3BAF38E40DB1CAE;-12.944830869491149;-38.376370445283484
332A4AB2EF64282B2DDDDA22B66C8AC26AF4CF43868D6941E115D51AA304A97D;-12.946430577862218;-38.376698804347996
423B329DCEF14F85EF0ADD2D8831F24044F05E0EAA3C01A31E5034A57D673EDE;-12.943028301399249;-38.376088850698906
A82F69F6CAF4637A23D10F3311C89F09E5B51C0CD8E656904487C605F61C01A9;-12.945557417317012;-38.37603288557418
607CC70F0EA2D183A16BC52CD45AAA92A7E588032001E76B223AF39AD6CEC1EF;-12.94272602659234;-38.37600398890954
0854D66F1C775514F90C7D4076FD162DFFFB9D87CB156731352C2392755BF1A8;-12.945430512538644;-38.37605631341294
D79C51541841C6239E6FACE10EEEE0DE9A16FB6FF16EC3C4A65AD30496E8245C;-12.946488200902696;-38.37584544338355
28B45BC5C97D573B87B514C1B678EB7C49DA407BBEEC8AC747B84DFCD9AE48C2;-12.94084792160765;-38.37590384234344
DE76E085EE43B37F36F229A3CB330EB8324DCB64A4ECA2AA364889114D6364E0;-12.946085703056005;-38.37592088202573
569A5891069F2BEE6BA27BB35BA890FB3B75FA2550724EC79BE6D1EAA35EB71E;-12.943450565981246;-38.37591687609056
325FB20E6033B3DC783AC182651E4CD08D583D92F2306EF303B5C255C6A59E0F;-12.943421675285085;-38.375810973000846
7D5114F4A67C01FECD970B987C73366F98BCFDD47391E6A2849894A3B54F78F5;-12.943626146996055;-38.37571522079782
CF14ADB3D01675F64578B4B57F168B4AE1449D9075E004701B9FBD9AE5D36458;-12.945037932177778;-38.3757301530674
1B75696B7BA1DCBC2DD8B280CD6547BE19C1BCC805FFF114655F0EF2D8D97AAF;-12.944766997149406;-38.3756403641478
D3DEEE2B4BF758664D4A48C80F5610383F68FD619B661B33E7290E043212C768;-12.94504365884002;-38.37557292031628
C2F366B63C78F0C624CB450D639BEB76D725AB60B79BD32CD27D68E18EDAA707;-12.945463542944417;-38.375680994061604
7DEEF70762434871550F11A2F7EEE4845B9B67D92FB4F05EF0F4161072B2C191;-12.945494647526589;-38.37560979178772
D9EF3DB7978FE9C81F799F421FF6BB2543AB77FCA6ED65EEEA96EC7C602EDF72;-12.946670506587733;-38.375666857644234
54FD9DFC4CE6895884BC1CD3D060D8F08AD65FBFE5ABC5605B43271C9AF05CAF;-12.944947371925087;-38.375669991118386
8C7B224EB2D775DCAA82554D6B3E2DF280C7481525FA9B410B0059F389CF12DB;-12.94524483451123;-38.37565337968372
674EB33A0B3355CEE66CF4D12E5D07F6D879947011BD9DA78938A064013CB981;-12.94447877287321;-38.37622368732639
090B39A2BAA3C1476CF1E5F2D4F58F909EE21EDA233407201866D80A409CCF55;-12.94639914416075;-38.37616789137317
68820E14990C81588636E5B33374E53BE72329F7BC1F35ABF7E200A17B9B73CB;-12.945972856321832;-38.37555876365032
09ED053EF7099C93C9243DD183BBAC63B003F9A62CFEC8FEB2245DE936DCDBCB;-12.946342880658007;-38.375569794699
9BFF8A96DDE971421EFAC71F586E0B72A426A6E773674C06D6F94054EFD6EF19;-12.945383735366683;-38.37555328108688
059D056A24097B1917723796045F1E33F0554E56C450505871DE8B6D6DCB4ACE;-12.94465280382516;-38.37606391524276
AE2150830150362BD7D3DE1421CD69B418E363C20C9B4A5F3E8FA890AEC6D051;-12.943151537688621;-38.37604492453126
DB4D65C00E2EBFBF9FF06636F0CFA328377503A0965981053DA1F21BD014CC72;-12.94559947141804;-38.37615588520795
3494306737B190333D37E7A30626DA1F605A0A863DF4B9E0A13A6873C01E8A46;-12.946697515756245;-38.375358736734654
431E678B47BB961D65F8200A7F96BF460899B1EDA470AE5935A3709FB72628A1;-12.944581704466533;-38.37544243697791
3DD5B4DF7BB25B32C80B469E4872199014E8BA30B72FFCD7B0230A16198FD5F2;-12.94611039925121;-38.37539542337234
615B0759AF3A4FBD7F862AA4F53A2621585C3234294BB9CBEF2D3CA6D410E77B;-12.945874146495518;-38.37548487359259
D10D689F309C76F73F3514981A692257C3DA62EF51F4CDB4F3813401C9230B2B;-12.943763803645949;-38.3754790767347
C8166C013E4CA8698584C0E2349E87921531BB2A0E2CBDCCD0271BAECD3EECF9;-12.941925051414412;-38.37536000047446
E132DECF6F22F53D20FDD15932FF18D864D8C8430470E8F5C4EC0D1BDAF44A83;-12.94586556258266;-38.37518961047856
B676184449AE832E281B7BA2E1BE7C22A360D2EEAF714AE4923EBA69E6E81B26;-12.943882073018356;-38.375286475290764
4575BB796BEE62CB1B5899BAFBF1F9CCB7F227066AB3B53FBF41EFBA1EDA8383;-12.945014932095726;-38.375247863261926
B6C5B47EC836F6F9F2F49C0A4CD6B279D75F6ADF9886D98CBC5237E84B8F29DF;-12.946509064125799;-38.37607495521167
274542BC56282E03D7B7F1C2AB6641FE4981E06E1C5F77EBB698B188AD467D3E;-12.94292137901714;-38.37605038825462
AE2913CA5876CBBFE8B214AA1ED1A5A2C9F793146DC15B639FBC6B8781F680C1;-12.943370622813099;-38.376001990277864
B055BCAC31EAC3D1777EB75C271895885333F451DF7DD974C3DAAA58B5196260;-12.943085921169759;-38.37592589358419
799A7C4BEDEB2499733BEEF7E3C58F3758A16FDE7F6D60F9D611AC8E11F34BBA;-12.944587800314679;-38.376065913462945
78661463F423913CD9469DA8D213B768FFB9F8EAA8D707D3A1EABF76871A1434;-12.945412366900587;-38.37602003810641
2A58FDF5B614DC5FBBD4E968097FAB810B07B955046B7BE25FD236D338ADE5B7;-12.94360461086413;-38.375905065294965
7B3B7F002F75350C65950860DBDACE3360AA041ABA330336554644E08F15C192;-12.945813850601327;-38.37586223274631
9D900EFCF61CE5766CED21D0F633EA2B1CA3EBA5B5DD49FBA3FDC575CE646C3B;-12.941787135593712;-38.37529074841696
D17450FA9D6C547307BC18DC709E4BA1928B200323CD7C7E3633ABA7CE76F9B9;-12.943240552286206;-38.37529336312816
98717EF6E9AC970D55D9A9799A223F98A473F887C5E53202BE0139BB4A7533DD;-12.945043599258446;-38.375263330077736
63AB93BC223CE7D94289DEF9407638B44682FEC5A9B83FD38D80605CB9DC04D8;-12.947012725666186;-38.37524595891129
AC72FFD1A807928D07FA0C088731124AAB9A974DAD0C935F38EEF26DB1FFAACA;-12.943565016276423;-38.37559931364753
4B28574DA455B97519DAADA39E45F8AC481B2AB5C0A623891D703517189BCB9B;-12.944931344740725;-38.37616530375933
81EA2BB809C2AA35C8508588DEA3F25FF208925D2D238A830B2F59BFF16F273D;-12.945333843160789;-38.376189286265394
6D2B43A2C5707A556CCD09B6B0D34608D603F50F07614B593A9BDC8F1CF68600;-12.945150509269462;-38.3761661442413
247C8353ED2B4114D62AF73240160D8B5B1DBFC9DFFE4629806CF184FD718D76;-12.944783545192086;-38.376192448414294
5571F1E71917BC95ABCB1891A1105B60E8E90D1C21C59573FF49C48608169F59;-12.943659482264524;-38.375446076998365
0302AD1EE1F7E69736BC351F69362B9BDF4D710DDB1F7B0D76A5A3C738620A01;-12.945945206009636;-38.37557153158712
4EEADD19060659EDAA3B6326074D13AA67CC1982A126FF47579083D326A9F1FA;-12.944695702380585;-38.376095350594255
4B3808A30935B901FE6BA9A31B708824948E721EE0501B0B463271D7E95D483C;-12.945708384604698;-38.376072037992934
76664956F98B367292A43DA0CBEE5764861A07FFB4B72A321DADFABA9A47AB85;-12.943304208273776;-38.376139038112306
A99905617EC21B79E90D724C5934D02D4AA6FB155DDCEF96595C008E04E0ED22;-12.946374988663445;-38.37614904640159
389AD603A78100A7E5460CB5D063FA247606995BF29DE82A1927B788715830DA;-12.944735210205174;-38.3760873914375
EA99E9D06F6B855730C6983E2E3B6C9D7C849E4245D9A6980BDF451DF575770B;-12.946922958850703;-38.37541907125474
4BCBFC7F021B829A62B5A02D293124B5012FCCF180FAA1492B5EE77B1B307955;-12.945616447844786;-38.37542398588464
187E342BDC7C75CC55006C795B5709C1339E82B525520874EC3E8988CB96A7F5;-12.946768227373202;-38.37527274821815
EA818A2E8D78545E2C79C80AE22629A593DC0D80329ED054738FE2A5948ADB15;-12.94603045569342;-38.37530424903355
A6BD2FA7FB5EBBC5DCD915552DB369E9D341C0098F1A22AED6C690B3ADE9FCCC;-12.945705667769392;-38.3752569752851
033F653CABF8F53382B22A34923140701AA2AC3ACC12CFDBC22A8273D62A1723;-12.946108896829026;-38.375266534337314
F3D751A186C9580D1293C5B62DFFAC63126B1945DFD7CF1190B2343EE960D94C;-12.941803163972311;-38.37528861764391
039E8D169E29B843AE8F5DD606C94AA321CE0736663099658D8B0551E77A5462;-12.944606198841434;-38.37592283842987
5B1BDC0C4C387AD726FC41CF0647B5EBD31A6D3F2BCB1E8BF7E952660444B8AB;-12.9455631719188;-38.37600944899291
F72D2E0AA714062EE5DDF3FA5A84280E6E103F6573794E310C524CAB28976FC8;-12.94294523757979;-38.37588239181252
2410117965B72FCF4DFC217D384C739D7F00A1EDA8CCD06F1B78ACA200DFB2D9;-12.945629631551876;-38.37588592754496
6826A90E9F67227D74391C5489AF34AC6C605D03FEEA78A688350DA0E0E79479;-12.942027483735739;-38.375891795533796
B1764E2485F392E0CAC8A2795D47F82E7A5C9085220E70DDD44D93C5A4265B29;-12.946605198756622;-38.375760907029154
684510AA71A10AA7A2BC41B53B9F522F894C3763F2CE0906A26A3503EF626E37;-12.946914360423648;-38.37512047894718
B325BC244B7C4E87E8F05F2471811CA99CE8A0D698BD764ECBEE3EAF6AAF604E;-12.941868791713235;-38.37511248002354
64DA690CDB20F242CE27D519BC32CB78E4B0871586C66871B2A5FE6F8FF43519;-12.9453095794747;-38.37576953654599
35DE6405F5DF381EAC2FD53B520B0833F65C07D8D7EF63AC08F75F0B5A623ED1;-12.945788795918029;-38.37570553773418
6F1EBF546B1B3EA7E25492AB1E8E8454913BD9AA78ECF9DEEEDFE7AE5AA5E8CE;-12.944912357929756;-38.37561808666404
05B5E51B7377CDF01279B8099E673520F8FC54BF841DFECAD5DA5791667B82B8;-12.94375871648578;-38.37575174645531
92D813AA7A2583E7D69C52C36390331C2CEE8F0CCC00F38118022FCCACF53F20;-12.94664900212402;-38.37571661985983
6F976B733A367D5654C039D160524B98819232A003B149A7DFF164F0EFDF8BFA;-12.945403976158788;-38.37563360690379
AA16CDB48114770035AFE895DF67F7EFFE459E9815C96BFAEE771A0E8CE697C6;-12.94623237019744;-38.3756237704169
D1843A3C3A6D0FA146E2484BCCFDA0379EAAEF3244C8C9103CADAAB00DA83402;-12.941914677168274;-38.37516307842857
D6B9EFC223E6C324FDD202728417F727DB214F1C3EC7F66E71BA872C19A36075;-12.941775369097412;-38.37515413775085
9D6227E74F76156D04CA6FBC5D70B3E0BD2B05381C97CBE53C411A4887D429DC;-12.942105416794359;-38.37502986269688
47874252903542299DAAA6607B517C91DC94D28B3B1D9A96696AD4369D49DF28;-12.943389359419143;-38.37491147759248
2D51C184E121D52BA385DEF97E75746D6A66A5AB5E3A7BAD497562DF5DEA72E5;-12.943684264158795;-38.3756086836006
782CEDAD77DD18418C60D6B334C776602E221BFE4AC7C7959290F963E169C770;-12.945404949678824;-38.375606202441865
99A797B12D00E484F7AF38917CD75AEF5E2ADA369518970C7FD466DDC91FBF8F;-12.946028650298308;-38.37561751135252
CF60DA5F4D8559FD5D24EC50BE3A20964C0EBE4ABCD47962BF14514B2FB7F889;-12.943002154104702;-38.375576949717576
41A3CF9EA10320E0B882CC019734664E4EFF11801E14A61CE9B88F3C6E3B72D5;-12.9462911995462;-38.37491778685109
441CEB87DB72CC2B0C475DD4C929F35C443555ADEB54E8D1B14FBF3FC4E8F057;-12.950613681734193;-38.37483171481849
8F9EA8F254571C0913C4A216C0C4AED1DB679FC7774DE486B8B331886E604D6E;-12.94383086316935;-38.37541157601029
6A22EFC2B042F8FD3EB51592053C5FCCE60590EF602D4A48560ADDFA59251814;-12.942428893829382;-38.37547762507781
689073AA19499153F10699D98A63DE56DFFF6E39D4E9AF0C7C9098DEC91B4B72;-12.945514973054758;-38.37537364155681
7479BB088384A730B21F11D94D5AF5D36EC094AFD3CFA74E18F9FCC4C291A886;-12.943486603650761;-38.374772710938636
5F55953A77393D70963D340796902B7B5E7CBB1DAE60B6F59E9B3177AB6C5197;-12.946545817002276;-38.374737855219735
4CCFBB20FDAA443B77C856ADF8461B046DF34FFC7846C4175FA99682BF5D1218;-12.945746233192866;-38.37539066012468
4705511F7500E318D1D7E2BDF0D690DE8BCFA4C7E3BD8A1CE57DFC797E7C7CBF;-12.945887841781728;-38.37539334414083
C2931372AF0C71FA32B0DB3B4BC5010A7607218C5D36C9E0D42E576CED6FDF44;-12.94479184619476;-38.375380354788796
C9C0431786ACF423B6D519AB822CA950356330330069809BE63C9C7D0ECEAD34;-12.9431432773421;-38.375332899141796
2346254AE03407880EA20FEF30CDFC53FCA5972953499C640399433638980B54;-12.943851933609606;-38.37527212371802
E54C6FD07A53D02FE24B08B6E2D61E7BA598E0F31555962FE0813D9C33AFFF6F;-12.9430907304392;-38.375271792270794
E781CC5BDDA825D0F84E86CB522DB1EB51B4B239154579D40D76C921E8DC41CA;-12.944571665762112;-38.37535072778462
